MR_AUTitem,MR_AUTitem_mrk
Baum,1
Stein,2
Berg,3
Monitor,4
Lok,5
Bim,6
Fenster,7
Würfel,8
Text,9
Band,10
Gürtel,11
Flyer,12
Display,13
CD,14
Honig,15
Tinte,16
Brief,17
