MR_AUTitem,MR_AUTitem_mrk
Aktenordner,201
Besen,202
Beutel,203
Bilderrahmen ,204
Bleistift,205
Bücherregal,206
Büroklammer,207
Eierkarton,208
Eimer,209
Fahrradhelm,210
Fliegenklatsche,211
Gartenschere,212
Gießkanne,213
Hammer,214
Handschuh,215
Handtasche,216
Keksdose ,217
Klebeband,218
Klemmbrett,219
Korkenzieher,220
Küchensieb,221
Löffel,222
Lupe,223
Maßband ,224
Messer,225
Müllsack,226
Nackenkissen,227
Nähnadel,228
Radiergummi,229
Regenschirm,230
Schachfigur,231
Schubkarre,232
Schuhe,233
Schuhlöffel,234
Sessel,235
Taschenlampe,236
Tasse,237
Teekanne,238
Tischdecke,239
Wäscheklammer,240
Wäschekorb,241
Wasserwaage,242
Weinflasche,243
Zange,244
