MR_AUTitem,MR_AUTitem_mrk
Autoreifen,101
Badewanne,102
Bananenschale,103
Blumenvase,104
Bügeleisen,105
Föhn,106
Frisbee,107
Gabel,108
Glocke,109
Gürtel,110
Hufeisen,111
Kleiderhaken,112
Klopapier,113
Knetmasse,114
Konservendose,115
Krawatte,116
Lampe,117
Locher,118
Mülleimer,119
Pflaster,120
Pinsel,121
Reisekoffer,122
Schaumstoffpolster,123
Seil,124
Socke,125
Spiegel,126
Stirnband,127
Tischtennisball,128
Uhr,129
Zahnbürste,130
